,AB2-1,AB2-2,AB2-3,AB2-4,AB2-5,AB2-6,AB2-7,AB2-8,AB2-9,AB2-10,AB2-11,AB2-12,AB2-13,AB2-14,AB2-15,AF2-1,AF2-2,AF2-3,AF2-4,AF2-5,AF2-6,AF2-7,AF2-8,AF2-9,AF2-10,AF2-11,AF2-12,AF2-13,AF2-14,AF2-15,AI2-1,AI2-2,AI2-3,AI2-4,AI2-5,AI2-6,AI2-7,AI2-8,AI2-9,AI2-10,AI2-11,AI2-12,AI2-13,AI2-14,AI2-15,AL2-1,AL2-2,AL2-3,AL2-4,AL2-5,AL2-6,AL2-7,AL2-8,AL2-9,AL2-10,AL2-11,AL2-12,AL2-13,AL2-14,AL2-15
AF2-9,99.26352054,98.55681686,99.61892099,99.48431937,96.17250749,99.58684399,99.13099768,99.16667247,99.21216586,99.74471583,99.47983477,99.52272829,99.61945013,99.62626256,99.54069897,99.71892978,99.85922906,99.50521407,99.73783814,99.70654308,99.55454651,99.03891343,99.91367681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF2-10,98.75694214,98.11511908,99.22549087,99.022893,95.42359305,99.1794218,98.61126374,98.62201947,98.6967646,99.4832516,99.01369935,99.07626407,99.21661714,99.23897013,99.08709151,99.39478529,99.70371689,99.27311556,99.4229353,99.36187218,99.12878787,98.66834404,99.7463372,99.86751464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF2-11,99.68882966,99.05172352,99.87407221,99.86801717,97.10246425,99.89713499,99.51999902,99.64714449,99.64588592,99.86247405,99.81556993,99.84756934,99.80412851,99.85118188,99.84429717,99.86942338,99.66533797,99.36467332,99.80856217,99.91471596,99.83940263,99.24162847,99.72159346,99.60553305,99.27555221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF2-12,99.91000603,99.2200055,99.70896577,99.77257158,98.13992033,99.73200406,99.90831923,99.89186117,99.92446443,99.29198561,99.85959202,99.79049942,99.83048294,99.75610132,99.80452384,99.70116758,99.33017486,99.29203147,99.68916685,99.68209682,99.87279104,98.96347458,99.12010397,99.12215393,98.58324133,99.6137567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF2-13,99.6053018,98.71814141,99.71756089,99.66041537,96.90400567,99.73431086,99.5729258,99.52204427,99.62257935,99.53779808,99.69394476,99.73684753,99.8154495,99.79475994,99.71165576,99.8525859,99.8603245,99.69465285,99.89878892,99.80782491,99.83049415,99.15086191,99.65846868,99.74835563,99.46620915,99.61780456,99.63007405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF2-14,99.78961565,99.06937624,99.5633952,99.59921771,97.76717073,99.62189756,99.83678856,99.73038101,99.82465409,99.26975339,99.75845451,99.64041361,99.8231787,99.67877752,99.65885029,99.70012799,99.52154384,99.53346815,99.72526447,99.64828281,99.78274029,98.88770372,99.32962418,99.39495659,98.98816242,99.47006289,99.7959617,99.84387934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF2-15,99.77407028,98.98708409,99.91401609,99.88256027,97.12356504,99.91724218,99.66987959,99.72716421,99.75070668,99.8102622,99.88259108,99.91043524,99.92741444,99.93209629,99.91257751,99.95733749,99.81623877,99.62575169,99.94108609,99.9606731,99.9365339,99.30347283,99.76031481,99.74899365,99.3770934,99.86425643,99.72526624,99.87971539,99.74802852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI2-1,99.74260086,98.97228845,99.92415562,99.92982841,97.25716359,99.93347232,99.6632718,99.70571768,99.7658801,99.74344845,99.84773708,99.95571521,99.9067807,99.97925285,99.91211282,99.92300303,99.79470372,99.52381789,99.93743569,99.92082264,99.93932535,99.32547334,99.63273107,99.63187574,99.26458739,99.82190232,99.74685895,99.81338008,99.69210849,99.91628565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI2-2,99.81381531,99.11080821,99.93630307,99.92369925,97.3232812,99.94156661,99.69704252,99.78140217,99.77656387,99.81886432,99.90819784,99.93208975,99.92951795,99.93997205,99.95545937,99.94154175,99.74508031,99.54222115,99.91470305,99.94272323,99.94004939,99.28968132,99.68990236,99.66495097,99.26080749,99.86374595,99.75157343,99.80033645,99.70351185,99.95991102,99.91271163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI2-3,97.41781914,98.24570094,96.40582509,96.68496473,98.02286257,96.55269726,97.45631196,97.38433717,97.32143674,96.23753971,97.20231332,96.51111876,97.02288004,96.55003661,96.73710003,96.48312865,95.80316291,95.92884258,96.36861384,96.38027681,96.72178393,95.2321173,96.13224745,96.10561935,95.49647058,96.44433643,97.10165204,96.53845917,97.29559813,96.59316177,96.41238906,96.73928729,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI2-4,99.6926679,98.93457676,99.86211491,99.82182168,97.01766558,99.88748451,99.5369375,99.65941302,99.6285418,99.85407674,99.82030885,99.82433856,99.83881447,99.85981361,99.85682363,99.89390291,99.76276114,99.55078703,99.87393662,99.91049269,99.8434101,99.26503277,99.72003483,99.67504681,99.35517105,99.85779495,99.58896349,99.70857299,99.53718278,99.89272693,99.84234996,99.89113292,96.3527435,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI2-5,99.74662281,99.03004753,99.92004699,99.92374849,97.10707722,99.95253965,99.61641983,99.70917389,99.72165264,99.87805528,99.8682879,99.92309214,99.89708895,99.94591558,99.9204004,99.95610475,99.78672321,99.54802917,99.91872729,99.96779468,99.91343255,99.31469841,99.76825656,99.70578142,99.33264321,99.88498667,99.67410688,99.79199732,99.65940851,99.95500763,99.92170741,99.96719278,96.57849651,99.90291823,,,,,,,,,,,,,,,,,,,,,,,,,,
