,AB2-1,AB2-2,AB2-3,AB2-4,AB2-5,AB2-6,AB2-7,AB2-8,AB2-9,AB2-10,AB2-11,AB2-12,AB2-13,AB2-14,AB2-15,AF2-1,AF2-2,AF2-3,AF2-4,AF2-5,AF2-6,AF2-7,AF2-8,AF2-9,AF2-10,AF2-11,AF2-12,AF2-13,AF2-14,AF2-15,AI2-1,AI2-2,AI2-3,AI2-4,AI2-5,AI2-6,AI2-7,AI2-8,AI2-9,AI2-10,AI2-11,AI2-12,AI2-13,AI2-14,AI2-15,AL2-1,AL2-2,AL2-3,AL2-4,AL2-5,AL2-6,AL2-7,AL2-8,AL2-9,AL2-10,AL2-11,AL2-12,AL2-13,AL2-14,AL2-15
AB2-11,99.90513919,99.91119401,99.94042194,99.80290912,99.42634393,99.59471804,99.78535367,99.9317916,99.87426579,99.97448893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB2-12,99.54600165,99.27737609,99.37991608,99.85037904,99.55569303,99.82195106,99.8353826,99.71684874,99.79376663,99.56393014,99.54863864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB2-13,99.32664884,98.98030883,99.05834088,99.75283486,99.61760093,99.89099851,99.80298273,99.58226256,99.70298783,99.31272192,99.32545347,99.68128578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB2-14,99.23128262,98.86602026,98.97619348,99.69835303,99.4897784,99.824832,99.73320566,99.49665194,99.61046724,99.23002108,99.22484168,99.70349808,99.75541127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB2-15,98.64634031,98.20482057,98.2937707,99.2232659,99.12730022,99.48472403,99.26467561,98.96056015,99.10831009,98.59542647,98.58912115,99.15272154,99.77765874,99.34042505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF2-1,99.60899347,99.36168958,99.4337648,99.91311513,99.61701742,99.89359203,99.92079147,99.82852172,99.84640508,99.62303112,99.6706804,99.76687093,99.7814065,99.69209572,99.27302002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF2-2,99.67253136,99.44288781,99.44437712,99.82038893,99.62696296,99.81881974,99.81948036,99.74810886,99.81705294,99.62063908,99.59921964,99.70217387,99.67712071,99.62932952,99.20509843,99.76388024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF2-3,99.8275246,99.70661231,99.75911502,99.93600204,99.54737262,99.84318471,99.92552545,99.95318486,99.93973379,99.86851278,99.88996559,99.71517611,99.66971624,99.53202878,99.10764024,99.893666,99.75197202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF2-4,99.86589481,99.74239724,99.77420846,99.92360508,99.5511317,99.80857469,99.89120749,99.93557295,99.94780999,99.87350405,99.87392178,99.72590892,99.60557062,99.49810377,99.01315766,99.84627724,99.84364528,99.94066988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF2-5,99.88077652,99.85920788,99.84499745,99.77346719,99.46180218,99.58607231,99.74523019,99.88963589,99.83480192,99.89610007,99.91517209,99.49423202,99.34830167,99.22255379,98.67355118,99.67397439,99.74609187,99.85276706,99.90516004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF2-6,99.89969115,99.8424039,99.87187639,99.89383977,99.50538406,99.74549329,99.86994679,99.96542178,99.9254932,99.9425247,99.95068164,99.66220771,99.50552896,99.41760604,98.87112982,99.80042666,99.77169123,99.95391229,99.95877254,99.9294273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF2-7,99.907357,99.85170374,99.87615358,99.88776744,99.52943267,99.73375371,99.8597516,99.96216787,99.91850191,99.94444224,99.95686153,99.64797605,99.5093135,99.39780893,98.87981119,99.78163185,99.75906255,99.94036438,99.93644526,99.95612321,99.97612439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF2-8,99.86207678,99.76196647,99.79538239,99.92348774,99.62670124,99.81342965,99.9180257,99.96268821,99.94110324,99.90175252,99.91673748,99.70802356,99.62497267,99.52357157,99.00420742,99.86267357,99.80441496,99.96359377,99.94168544,99.91051436,99.96652483,99.96572065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF2-9,99.63847457,99.35445877,99.40958151,99.86156597,99.58422827,99.87696204,99.86371065,99.7411935,99.87943714,99.60011354,99.57732054,99.78852071,99.77110774,99.71053872,99.2968197,99.82399255,99.89672523,99.79739025,99.85773549,99.63717728,99.74114965,99.70548241,99.78418765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF2-10,99.88915326,99.82082573,99.8569066,99.89717187,99.53584559,99.75479459,99.8716926,99.96046143,99.93255566,99.93075675,99.94338791,99.66523653,99.54417212,99.40849832,98.91954005,99.8154163,99.73964193,99.96354238,99.95958745,99.91566549,99.98351106,99.96765408,99.96771845,99.74170578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF2-11,99.25817669,99.17197517,99.2087237,99.48531566,99.28224335,99.44487481,99.53014165,99.51419524,99.45342564,99.36750511,99.41520152,99.35557857,99.31780935,99.33820072,98.70877815,99.57023429,99.40867839,99.54466523,99.42742382,99.41891795,99.51922514,99.50910023,99.5961578,99.32167365,99.49819989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF2-12,99.5222106,99.21496836,99.30615881,99.89659261,99.64364796,99.95095501,99.9209325,99.76182904,99.82606698,99.52562255,99.54184519,99.80502746,99.89287272,99.83532904,99.48270319,99.92624398,99.78547418,99.83182865,99.77124118,99.53718111,99.71663864,99.68644516,99.79987334,99.86446433,99.73127751,99.52957864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF2-13,99.08652596,98.64376852,98.74185951,99.65571177,99.50866367,99.8107285,99.70487298,99.40360748,99.52912801,99.04919362,99.06691796,99.63776214,99.85594282,99.81372692,99.55589033,99.73332571,99.61828108,99.50605195,99.44399043,99.12647855,99.32110821,99.29512994,99.47254816,99.70806881,99.33766519,99.31279712,99.88406862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF2-14,98.72383803,98.1823782,98.30914807,99.43973394,99.27881295,99.65306813,99.49582215,99.10530796,99.26718445,98.66790702,98.69279095,99.48485903,99.75038276,99.71765605,99.51650239,99.58122574,99.38518074,99.24522872,99.17920292,98.75837761,99.00633372,98.96732463,99.18100973,99.53466498,99.03462213,99.03029697,99.75511541,99.93397836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AF2-15,98.57313215,98.00183655,98.13240022,99.31542154,99.21982197,99.57357167,99.39345524,98.96790295,99.14601911,98.50760701,98.52581574,99.39905381,99.69134846,99.69574965,99.49551146,99.45858158,99.30516106,99.09998258,99.03291432,98.59484066,98.85575177,98.81134092,99.04273197,99.45286581,98.87495144,98.95109712,99.68633771,99.90446687,99.96989759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI2-1,99.5911154,99.29744894,99.39632224,99.91837284,99.62795517,99.95343963,99.91862129,99.77503741,99.87516594,99.60109983,99.57521311,99.87324623,99.85250734,99.85531734,99.3958877,99.85251735,99.81511066,99.79869632,99.78865017,99.54638225,99.72507762,99.70171072,99.78848987,99.90503089,99.71997691,99.42910121,99.93806341,99.81038275,99.66155273,99.58782517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI2-2,99.75760285,99.5219821,99.59181642,99.95277096,99.69876178,99.92694724,99.95839746,99.87726855,99.9687536,99.75826765,99.74847714,99.85893663,99.80753522,99.74251946,99.2767856,99.87624602,99.86692794,99.88770013,99.90236058,99.73459608,99.84832968,99.83761737,99.89774791,99.93335931,99.85419167,99.4589114,99.90405448,99.70312281,99.4943751,99.39808702,99.95203782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI2-3,99.88548313,99.77087812,99.8383294,99.94300949,99.56048537,99.81543587,99.8941976,99.94309807,99.96064596,99.92841702,99.89729905,99.77128896,99.58191355,99.53657505,98.97338259,99.77384908,99.781888,99.91991074,99.92646412,99.8377411,99.9353329,99.93012899,99.92990593,99.808741,99.92996117,99.39471218,99.75492401,99.41399716,99.11902538,98.98326039,99.83472916,99.91737805,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI2-4,99.91908098,99.93621956,99.96463128,99.77184407,99.391559,99.55789727,99.74503163,99.8997022,99.868592,99.98375731,99.98105189,99.53000767,99.27056926,99.18589086,98.525623,99.59414063,99.5886617,99.85422524,99.85810447,99.89112803,99.92903781,99.93296218,99.88861188,99.58075818,99.92386038,99.32726421,99.48929837,98.99690805,98.60703874,98.44229253,99.55808237,99.73882415,99.9112739,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI2-5,99.89542501,99.79804127,99.85557163,99.94428086,99.56052751,99.8019232,99.8942286,99.96168358,99.95477489,99.94268399,99.92231081,99.75247592,99.55892868,99.50685407,98.93246668,99.79963167,99.77937589,99.9349673,99.94284478,99.8730702,99.95849544,99.95003296,99.95255121,99.7918137,99.95125304,99.43141182,99.75221246,99.40032951,99.09659132,98.95480286,99.81018162,99.9051354,99.9890383,99.92330389,,,,,,,,,,,,,,,,,,,,,,,,,,
AI2-6,99.6550265,99.64921965,99.71083344,99.68840176,99.3417115,99.63626456,99.709714,99.78271915,99.76648682,99.77766298,99.7344663,99.50269054,99.47335046,99.37642215,98.91137152,99.53517687,99.46882629,99.77492526,99.66611513,99.61625494,99.76149126,99.76499586,99.77359186,99.49139398,99.76788496,99.47737536,99.58780088,99.19654599,98.87609506,98.779945,99.62212135,99.68781884,99.76813101,99.74414618,99.7420156,,,,,,,,,,,,,,,,,,,,,,,,,
AI2-7,99.87010925,99.75805822,99.82602962,99.93429457,99.55634601,99.81310194,99.88704048,99.94387174,99.93940544,99.91693383,99.89759225,99.74651025,99.58814419,99.52012219,98.99495239,99.79354562,99.75319956,99.91867348,99.91156444,99.83058398,99.93268037,99.93018738,99.93152219,99.77001532,99.92883538,99.44183803,99.75680888,99.39730678,99.10996928,98.97517298,99.81569188,99.89516648,99.97086013,99.89634962,99.97373157,99.7589326,,,,,,,,,,,,,,,,,,,,,,,,
AI2-8,99.92272766,99.84764008,99.88405737,99.89632767,99.55773157,99.74785599,99.88120695,99.95686082,99.96336923,99.95946731,99.95843271,99.68497539,99.51991553,99.42783256,98.85069323,99.761042,99.75592922,99.93208275,99.93838802,99.90462574,99.96488385,99.95986102,99.95525541,99.76677483,99.96256125,99.42501187,99.69662541,99.31223886,98.98402879,98.83674715,99.7496929,99.88695013,99.96821429,99.96082704,99.97591493,99.7606218,99.95015214,,,,,,,,,,,,,,,,,,,,,,,
AI2-9,99.90767883,99.8541058,99.90246436,99.90584466,99.52241094,99.75399769,99.86488281,99.95455146,99.94297339,99.97224272,99.95200699,99.70869763,99.50436466,99.43201796,98.86019556,99.74439989,99.73139835,99.92304688,99.92116775,99.87805734,99.95958074,99.95723814,99.94224113,99.73787361,99.95024852,99.42240396,99.68620788,99.29215797,98.96207321,98.81626454,99.75941585,99.87017424,99.98147013,99.95797725,99.9870569,99.78765504,99.9683848,99.98142779,,,,,,,,,,,,,,,,,,,,,,
AI2-10,99.92311654,99.84306869,99.88187291,99.89279435,99.5389731,99.75159714,99.86723072,99.93266315,99.95299818,99.95416927,99.93884801,99.70055737,99.50851039,99.43356001,98.85489835,99.73661766,99.7634185,99.91059993,99.93135718,99.88030016,99.94811766,99.94383013,99.93338577,99.78037666,99.94125801,99.36578791,99.68182266,99.29520251,98.97163886,98.82721506,99.76222144,99.88328,99.97794012,99.95673188,99.97817209,99.74597609,99.95413395,99.98674301,99.9866086,,,,,,,,,,,,,,,,,,,,,
AI2-11,99.9001764,99.96105874,99.98246661,99.68725695,99.26461181,99.42667272,99.62944373,99.86123371,99.78858457,99.96931923,99.94596052,99.41244034,99.10730947,99.01522837,98.36049476,99.46278524,99.5061108,99.77378218,99.80809424,99.8750022,99.89292192,99.89436545,99.8186927,99.46175647,99.87807651,99.22261453,99.34208613,98.80108159,98.37838196,98.20067379,99.43078614,99.63588869,99.85313143,99.96829766,99.87228038,99.68351243,99.84154816,99.90848736,99.91100988,99.89714809,,,,,,,,,,,,,,,,,,,,
AI2-12,99.81873648,99.90650922,99.90145197,99.61806321,99.30055438,99.41703835,99.61366739,99.82361869,99.72858615,99.89982511,99.89387802,99.32679328,99.15343094,99.00655864,98.42600038,99.45748219,99.45924425,99.76991816,99.72668518,99.8282138,99.85139307,99.86168884,99.81498828,99.37008109,99.84769649,99.38685169,99.36647902,98.8510517,98.41571202,98.27332793,99.37219291,99.57395294,99.76330827,99.8987312,99.7846673,99.80475386,99.7630527,99.83985645,99.83209692,99.80788259,99.89219519,,,,,,,,,,,,,,,,,,,
AI2-13,99.4371879,99.171138,99.23392027,99.77583485,99.61476911,99.86354888,99.83129324,99.69133675,99.73315714,99.45165659,99.4530239,99.67213826,99.85761827,99.75757529,99.46928534,99.78931615,99.69381959,99.74104211,99.64684468,99.46259999,99.62808729,99.61402809,99.73075123,99.70695761,99.64217978,99.56519068,99.90439862,99.81342217,99.64954018,99.60972809,99.83519467,99.80508635,99.64416829,99.39828678,99.63649678,99.67869691,99.64839472,99.60100341,99.58656082,99.56589119,99.2643283,99.43996201,,,,,,,,,,,,,,,,,,
AI2-14,99.30470451,99.02697529,99.08815252,99.68363809,99.54433713,99.80272432,99.75957334,99.59814364,99.63454184,99.32166378,99.33143419,99.59343038,99.82606371,99.71752311,99.46859576,99.72576488,99.60314561,99.65211252,99.53867759,99.34306104,99.5231924,99.50624521,99.63755732,99.6098006,99.53712984,99.55442264,99.85813677,99.79456034,99.64920236,99.62602799,99.76428618,99.71682615,99.52126217,99.25986628,99.51350811,99.62380721,99.53560954,99.48327443,99.46430908,99.43367815,99.12076162,99.32779274,99.98030575,,,,,,,,,,,,,,,,,
AI2-15,99.33622809,99.03431347,99.10490771,99.69137648,99.48299987,99.81370084,99.74875736,99.57539365,99.67638502,99.33695567,99.31205008,99.62614501,99.82660111,99.74437776,99.46038341,99.67315078,99.64901518,99.64189087,99.56134056,99.33375552,99.51153946,99.49163258,99.61598395,99.71284182,99.5222944,99.41199497,99.84660698,99.80453233,99.65429813,99.63796535,99.81860126,99.76510992,99.57370533,99.28099816,99.54274573,99.62545029,99.5492853,99.50815294,99.49280182,99.48287016,99.13717552,99.30500677,99.95386001,99.93883596,,,,,,,,,,,,,,,,
AL2-1,99.15489742,98.79643491,98.8764616,99.62932486,99.48802847,99.79406438,99.70483966,99.47198553,99.55477098,99.14951768,99.15404409,99.58379285,99.85460322,99.75842921,99.56112641,99.68628624,99.56367564,99.5512215,99.44162966,99.17712524,99.3847727,99.36331112,99.51772222,99.6112868,99.40169051,99.41995749,99.85651572,99.87453361,99.78619856,99.77452886,99.7724121,99.6817997,99.42617147,99.08236847,99.40630538,99.47647288,99.42845904,99.35506478,99.33748037,99.31652655,98.91740009,99.1003406,99.95126983,99.97251902,99.94489224,,,,,,,,,,,,,,,
AL2-2,96.996692,96.50706551,96.72559511,97.68941978,97.40554757,97.97556653,97.69909041,97.41316558,97.62752448,97.09388384,96.92557897,97.70747368,98.13358286,98.10094391,97.95928907,97.53581815,97.51755292,97.43555681,97.27579324,96.81792137,97.17518585,97.13625852,97.33768758,97.78228004,97.19054201,97.11746233,97.97415977,98.13051151,98.10803022,98.15942084,98.12537735,97.81493563,97.55109184,96.93677899,97.41320694,97.68236361,97.47193281,97.30803819,97.33610265,97.29839482,96.72330977,96.89678743,98.22219181,98.24728296,98.47458085,98.39339214,,,,,,,,,,,,,,
AL2-3,99.71071036,99.57197445,99.6112395,99.84033085,99.58077099,99.81745595,99.86143418,99.86936928,99.86235094,99.74409076,99.73802839,99.66561637,99.71164929,99.57599425,99.20511478,99.77942211,99.71689567,99.88070951,99.81248059,99.72300928,99.83147443,99.82661977,99.8731597,99.71108548,99.84669761,99.58400643,99.81340236,99.56096133,99.28793219,99.20648053,99.7749138,99.83823917,99.81203728,99.70408088,99.81217589,99.8476072,99.80894844,99.81475957,99.79973943,99.7759593,99.6294354,99.76711102,99.89822891,99.85325619,99.83995742,99.75135298,97.90388291,,,,,,,,,,,,,
AL2-4,99.81571315,99.79872847,99.82188123,99.77707713,99.44607489,99.66608399,99.7847413,99.89456258,99.85448306,99.885207,99.87214846,99.52971348,99.48503598,99.33049513,98.86714537,99.65903358,99.61280546,99.8856344,99.8193998,99.81525645,99.89312466,99.89393007,99.89514197,99.59419865,99.90371941,99.50176191,99.6376176,99.23986462,98.89000815,98.77180862,99.6282595,99.75762309,99.8451666,99.86536582,99.85500401,99.9089613,99.83872267,99.88466194,99.87741334,99.85386123,99.81993446,99.93479385,99.71057426,99.62773563,99.62934293,99.46694289,97.49393438,99.92515253,,,,,,,,,,,,
AL2-5,99.84480718,99.78933297,99.81866835,99.8549023,99.54454216,99.75783006,99.85826997,99.93312214,99.90559359,99.89860155,99.89349563,99.64460978,99.56643235,99.45715071,98.95364029,99.74798479,99.70734323,99.92050654,99.87156102,99.84461866,99.93142952,99.92903335,99.94245059,99.68044698,99.93208076,99.5829888,99.72671306,99.36828576,99.04058467,98.92863014,99.72905149,99.83771304,99.89631631,99.88029389,99.90789237,99.89325253,99.89751194,99.92312455,99.91690786,99.89479592,99.82668507,99.90462822,99.76230292,99.68733,99.67313218,99.54298121,97.50648673,99.94003819,99.97668093,,,,,,,,,,,
AL2-6,99.23810407,98.98412589,99.04540271,99.5367377,99.32614227,99.59208035,99.57469706,99.460163,99.47931042,99.24140131,99.2497637,99.41048396,99.53614159,99.70138218,99.1137612,99.51987963,99.4537193,99.49434604,99.40347863,99.26861615,99.39292522,99.40397544,99.49240678,99.45974502,99.40010046,99.32907282,99.63805183,99.5137235,99.32346237,99.2851223,99.58800258,99.5399247,99.43735637,99.20782045,99.42388132,99.41292943,99.42999786,99.37565722,99.37567105,99.35604512,99.06987366,99.20644945,99.69057084,99.64614761,99.64428809,99.61044874,97.84736919,99.61655359,99.44497022,99.50344111,,,,,,,,,,
AL2-7,92.56433342,91.52767687,91.72579523,93.74243351,93.86089493,94.43353855,93.94761818,93.09543086,93.72815817,92.36965195,92.23386988,94.15632042,95.11247618,95.20061215,95.41533888,93.8674969,94.05173007,93.27331223,93.30774391,92.49653983,92.84547814,92.76101113,93.19132115,94.47667214,92.89534542,93.15532085,94.60684007,95.42476348,95.80335299,96.02351456,94.69509492,94.24589033,93.25346746,92.19540915,93.08415061,93.34220987,93.07282087,92.96598367,92.8561566,92.93760774,91.84767065,92.09650558,94.96722305,95.0742491,95.47107553,95.54598397,96.78526482,94.07060864,93.14381512,93.24592758,94.81673859,,,,,,,,,
AL2-8,99.05872571,98.7006225,98.77951656,99.56594271,99.46319877,99.74979022,99.65941275,99.40676514,99.4789594,99.06071943,99.07595562,99.51422464,99.83620018,99.7258237,99.55929932,99.65067761,99.49122896,99.49746209,99.36281332,99.09793012,99.31051882,99.29272033,99.45724106,99.5369473,99.32960482,99.40288814,99.8229257,99.85540031,99.78286811,99.7777723,99.71195642,99.61235024,99.3414942,98.99374023,99.32357202,99.42532042,99.35578388,99.27101993,99.25445298,99.2301016,98.81490865,99.03424909,99.93334203,99.95768609,99.90853691,99.98404875,98.31378556,99.69787049,99.40520077,99.47753156,99.5881067,95.50208108,,,,,,,,
AL2-9,96.06228304,95.43023937,95.52700572,97.12523445,97.31648102,97.78645981,97.26413214,96.69523088,96.89179272,96.01937525,96.03521976,96.95024336,98.26563268,97.78016278,98.75990169,97.42473424,97.19782833,97.00728989,96.73443558,96.22145438,96.53151923,96.54532595,96.8342531,97.27236927,96.63964367,96.88351113,97.83376136,98.26048221,98.42051724,98.50540612,97.50704946,97.21003103,96.60880418,95.88899353,96.54668019,96.93417431,96.67098227,96.44087842,96.42127456,96.3790485,95.58993778,96.04880813,98.0634656,98.20648297,98.0950012,98.39673856,97.18994365,97.41789058,96.77962634,96.85972032,97.582236,95.68869793,98.50633514,,,,,,,
AL2-10,97.78477513,97.24129198,97.33816922,98.60914867,98.62813235,98.95717182,98.75866752,98.28435568,98.42143913,97.73434124,97.77006892,98.63385645,99.22037031,99.11921635,99.15708003,98.81492395,98.55203497,98.48002833,98.28638085,97.85827503,98.14050552,98.11192304,98.38055724,98.66631445,98.19340718,98.4256392,99.12211058,99.42249406,99.5224892,99.57213419,98.89107128,98.67455095,98.19779397,97.65161601,98.16833481,98.35251895,98.1855239,98.06836664,98.03889455,98.01753992,97.38878051,97.68718156,99.2491436,99.35286194,99.27737222,99.48811562,97.74249714,98.76305155,98.26759522,98.36925917,98.81176993,96.11586107,99.55017087,98.88208523,,,,,,
AL2-11,99.70177052,99.50979045,99.56180991,99.87946996,99.61020079,99.88663493,99.89861432,99.84988733,99.89355732,99.71724442,99.69617233,99.7527832,99.78675254,99.71138236,99.31598665,99.79632636,99.79803133,99.86565895,99.82055897,99.68481718,99.81782165,99.80417835,99.86205718,99.81485175,99.81570478,99.54495495,99.87807619,99.67310143,99.43277657,99.37037178,99.88576837,99.90732764,99.84839235,99.67897754,99.83325502,99.82285747,99.83183788,99.81847241,99.8105971,99.7986475,99.58961816,99.670145,99.92152164,99.87352229,99.90282155,99.8103503,98.11409269,99.96297801,99.86544264,99.90977181,99.6567942,94.45267859,99.74662396,97.50549624,98.85255937,,,,,
AL2-12,99.4657094,99.18593308,99.25639652,99.76839017,99.54617961,99.8663252,99.81094594,99.66246032,99.76912886,99.46899118,99.43489407,99.68892562,99.84706567,99.7603052,99.46582067,99.70740031,99.7253133,99.71315862,99.6512649,99.44251074,99.61032153,99.59694259,99.69355426,99.77630752,99.61475662,99.42057053,99.86593757,99.78086605,99.60517139,99.56966528,99.87930523,99.84138135,99.68830444,99.41800041,99.65114609,99.70331342,99.6593367,99.62174955,99.61420529,99.607379,99.28897516,99.40041596,99.94102476,99.90942414,99.97889209,99.90749111,98.44988416,99.86781695,99.69608858,99.74190705,99.63100747,95.2570236,99.85772657,97.93599772,99.13218085,99.94092005,,,,
AL2-13,96.23441677,95.72225073,95.77252378,97.10027486,97.2562955,97.72809541,97.20589741,96.75188222,96.91732799,96.19248336,96.21075568,96.81540559,98.23627035,97.49771527,98.84572998,97.36755368,97.20941903,97.09122803,96.81988146,96.41596902,96.65229912,96.69076514,96.92150504,97.21925144,96.77784668,96.90399269,97.70237896,97.96613458,98.02872974,98.06169603,97.37481141,97.157712,96.67372292,96.08725718,96.6201411,97.04348609,96.8111965,96.55213502,96.54020169,96.50083727,95.81806018,96.28145688,97.92230291,98.04087324,97.89918257,98.15744701,96.69513757,97.42141664,96.90148994,96.9603866,97.44400582,94.53955458,98.26126171,99.67416432,98.31465736,97.45755915,97.80300213,,,
AL2-14,99.77192026,99.60249473,99.64882848,99.91957476,99.66082287,99.89246919,99.93316664,99.90739865,99.93254712,99.79237426,99.78576264,99.76338875,99.77894953,99.67719098,99.260191,99.85152512,99.81328695,99.9251258,99.8830874,99.77232331,99.88250993,99.87433327,99.92658961,99.82734128,99.89129691,99.57016637,99.88366249,99.64590404,99.39576799,99.30520505,99.8765145,99.92846054,99.89403101,99.76449498,99.89232233,99.82149695,99.88438285,99.88214892,99.87049805,99.86163248,99.67436989,99.7473406,99.90557783,99.83202578,99.84761224,99.75236363,97.91286055,99.96727645,99.9066923,99.94197732,99.64863795,94.1357355,99.70141578,97.37759284,98.75683063,99.97616436,99.89108407,97.36792381,,
AL2-15,99.81046364,99.66682819,99.70868654,99.91486787,99.62544225,99.87158547,99.91967956,99.91802865,99.94449252,99.83421437,99.82095925,99.74675372,99.7249803,99.61723742,99.18069892,99.82250113,99.8113913,99.92988213,99.89490935,99.80109078,99.90558616,99.89929206,99.93691249,99.81312133,99.90943995,99.55577458,99.84343739,99.57872113,99.30619511,99.20546656,99.85685556,99.92468361,99.91647603,99.80907697,99.9128903,99.84954308,99.9057411,99.91065898,99.90038336,99.89125664,99.73009151,99.78814091,99.85977831,99.78687715,99.80912079,99.69712137,97.82237187,99.9606652,99.92876808,99.96720424,99.58739237,93.89867524,99.63134961,97.22004517,98.62855712,99.97054546,99.87047646,97.25439644,99.98577364,
