,AB2-1,AB2-2,AB2-3,AB2-4,AB2-5,AB2-6,AB2-7,AB2-8,AB2-9,AB2-10,AB2-11,AB2-12,AB2-13,AB2-14,AB2-15,AF2-1,AF2-2,AF2-3,AF2-4,AF2-5,AF2-6,AF2-7,AF2-8,AF2-9,AF2-10,AF2-11,AF2-12,AF2-13,AF2-14,AF2-15,AI2-1,AI2-2,AI2-3,AI2-4,AI2-5,AI2-6,AI2-7,AI2-8,AI2-9,AI2-10,AI2-11,AI2-12,AI2-13,AI2-14,AI2-15,AL2-1,AL2-2,AL2-3,AL2-4,AL2-5,AL2-6,AL2-7,AL2-8,AL2-9,AL2-10,AL2-11,AL2-12,AL2-13,AL2-14,AL2-15
AB2-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB2-2,99.85612594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB2-3,99.86842147,99.97232251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB2-4,99.78043005,99.58023585,99.66103477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB2-5,99.42379061,99.1795076,99.20283726,99.63202469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB2-6,99.58910323,99.31488681,99.39847563,99.92646731,99.65919802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB2-7,99.73819849,99.53589701,99.60158201,99.95523139,99.69207195,99.92366521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB2-8,99.87112392,99.79059608,99.84440385,99.93142044,99.55508264,99.79346025,99.91200754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB2-9,99.85711214,99.70333493,99.76046313,99.94610169,99.63425829,99.86510438,99.94573819,99.94047883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB2-10,99.91003365,99.93651606,99.97159983,99.80688254,99.39663592,99.59971725,99.76215289,99.93232207,99.87892129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
