,F1-1,F1-2,F1-3,F1-4,F1-5,F1-6,F1-7,F1-8,F1-9,F1-10,F1-11,F1-12,F1-13,F2-1,F2-2,F2-3,F2-4,F2-5,F2-6,F2-7,F2-8,F2-9,F2-10,F2-11,F2-12,F2-13,F2-14,F2-15,F3-1,F3-2,F3-3,F3-4,F3-5,F3-6,F3-7,F3-8,F3-9,F3-10,F3-11,F3-12,F3-13,F3-14,F3-15,F5-1,F5-2,F5-3,F5-4,F5-5,F5-6,F5-7,F5-8,F5-9,F5-10,F5-11,F5-12,F5-13,F5-14,F5-15,F6-1,F6-2,F6-3,F6-4,F6-5,F6-6,F6-7,F6-8,F6-9,F6-10,F6-11,F6-12,F6-13,F6-14,F6-15,D1-1,D1-2,D1-3,D1-4,D1-5,D1-6,D1-7,D1-8,D1-9,D1-10,D1-11,D1-12,D1-13,D1-14,D1-15,D1-16,D1-17,D1-18,D1-19,D1-20,D1-21,D1-22,D1-23,D1-24,D1-25,D1-26,D1-27,D1-28,D1-29,D1-30,D1-31,D1-32,D1-33,D1-34,D1-35,D1-36,D1-37,D1-38,D1-39,D1-40,D1-41,D1-42,D1-43,D1-44,D1-45,D1-46,D1-47,D1-48,D1-49,D1-50,D1-51,D1-52,D1-53,D1-54,D1-55,D1-56,D1-57,D1-58,D1-59,D1-60,D1-61,D1-62,D1-63,D1-64,D1-65,D1-66,D1-68,D1-70,D1-71,D1-72,D1-73,D1-74,D1-75,D1-76,D1-77,D1-78,D1-79,D1-80,AD6-26,AD6-27,AD6-28,AD6-29,AD6-30,AD6-31,AD6-32,AD6-33,AD6-34,AD6-35,AD6-36,AD6-37,AD6-38,AD6-39,AD6-40,AD6-41
F1-12,99.95168958,99.86341907,99.95517027,99.89576283,99.96626545,99.90678135,99.95305341,99.91287089,99.92472901,99.61891776,99.30784507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1-13,99.87972796,99.79644618,99.94663621,99.82100704,99.90589582,99.82317114,99.92193513,99.8166939,99.83117926,99.51652842,99.39090486,99.93454476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2-1,99.90140986,99.79982996,99.92894714,99.83015285,99.92259456,99.84515753,99.92237415,99.83689778,99.85448789,99.56190853,99.30667516,99.96297309,99.95263757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2-2,99.79621556,99.78971276,99.83315648,99.77561549,99.81718947,99.77918369,99.81603108,99.76368318,99.76765226,99.34906244,99.37484133,99.78902037,99.8441536,99.76388024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2-3,99.98526552,99.89932537,99.89684057,99.93303685,99.961284,99.93959285,99.94548765,99.96909829,99.97238581,99.47640248,99.23518701,99.94479937,99.864891,99.893666,99.75197202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2-4,99.95930322,99.931246,99.87302354,99.9430078,99.94754581,99.94565244,99.93846473,99.94012444,99.94938552,99.36176671,99.24976333,99.88163913,99.85783632,99.84627724,99.84364528,99.94066988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2-5,99.87563027,99.96732095,99.77509833,99.94600089,99.85426807,99.95436628,99.87627959,99.92282972,99.90543895,99.32717985,99.03449382,99.76647709,99.67275789,99.67397439,99.74609187,99.85276706,99.90516004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2-6,99.96899943,99.94921676,99.86184942,99.96099792,99.95011224,99.96313452,99.93095655,99.97138643,99.98580026,99.42954755,99.13846723,99.88606005,99.78643398,99.80042666,99.77169123,99.95391229,99.95877254,99.9294273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2-7,99.94886906,99.95845626,99.85241405,99.96920818,99.92352749,99.97631667,99.92373839,99.98251941,99.96272536,99.42798556,99.13066029,99.87050888,99.76111415,99.78163185,99.75906255,99.94036438,99.93644526,99.95612321,99.97612439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2-8,99.96130759,99.94554001,99.9238194,99.96293164,99.94730924,99.96692051,99.96581342,99.9821007,99.96556289,99.50291055,99.20848294,99.92910346,99.86265081,99.86267357,99.80441496,99.96359377,99.94168544,99.91051436,99.96652483,99.96572065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2-9,99.80151803,99.68934198,99.8026289,99.71537325,99.80451586,99.72454182,99.78763942,99.75255163,99.7503787,99.25883782,99.39497795,99.80718515,99.87728493,99.82399255,99.89672523,99.79739025,99.85773549,99.63717728,99.74114965,99.70548241,99.78418765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2-10,99.9690038,99.94135549,99.85948165,99.95871784,99.9442544,99.96138526,99.93703615,99.97627703,99.97895969,99.41373739,99.15701536,99.88501709,99.80595924,99.8154163,99.73964193,99.96354238,99.95958745,99.91566549,99.98351106,99.96765408,99.96771845,99.74170578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2-11,99.55498103,99.5313982,99.60518309,99.51381761,99.58430254,99.54069567,99.59489096,99.56873477,99.56692538,99.85537225,98.85384242,99.64002892,99.53235226,99.57023429,99.40867839,99.54466523,99.42742382,99.41891795,99.51922514,99.50910023,99.5961578,99.32167365,99.49819989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2-12,99.8282415,99.67004516,99.89394007,99.71644085,99.8518094,99.72435584,99.83705175,99.76599372,99.76924335,99.49890106,99.45005576,99.9187595,99.95458561,99.92624398,99.78547418,99.83182865,99.77124118,99.53718111,99.71663864,99.68644516,99.79987334,99.86446433,99.73127751,99.52957864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
