,F1-1,F1-2,F1-3,F1-4,F1-5,F1-6,F1-7,F1-8,F1-9,F1-10,F1-11,F1-12,F1-13,F2-1,F2-2,F2-3,F2-4,F2-5,F2-6,F2-7,F2-8,F2-9,F2-10,F2-11,F2-12,F2-13,F2-14,F2-15,F3-1,F3-2,F3-3,F3-4,F3-5,F3-6,F3-7,F3-8,F3-9,F3-10,F3-11,F3-12,F3-13,F3-14,F3-15,F5-1,F5-2,F5-3,F5-4,F5-5,F5-6,F5-7,F5-8,F5-9,F5-10,F5-11,F5-12,F5-13,F5-14,F5-15,F6-1,F6-2,F6-3,F6-4,F6-5,F6-6,F6-7,F6-8,F6-9,F6-10,F6-11,F6-12,F6-13,F6-14,F6-15,D1-1,D1-2,D1-3,D1-4,D1-5,D1-6,D1-7,D1-8,D1-9,D1-10,D1-11,D1-12,D1-13,D1-14,D1-15,D1-16,D1-17,D1-18,D1-19,D1-20,D1-21,D1-22,D1-23,D1-24,D1-25,D1-26,D1-27,D1-28,D1-29,D1-30,D1-31,D1-32,D1-33,D1-34,D1-35,D1-36,D1-37,D1-38,D1-39,D1-40,D1-41,D1-42,D1-43,D1-44,D1-45,D1-46,D1-47,D1-48,D1-49,D1-50,D1-51,D1-52,D1-53,D1-54,D1-55,D1-56,D1-57,D1-58,D1-59,D1-60,D1-61,D1-62,D1-63,D1-64,D1-65,D1-66,D1-68,D1-70,D1-71,D1-72,D1-73,D1-74,D1-75,D1-76,D1-77,D1-78,D1-79,D1-80,AD6-26,AD6-27,AD6-28,AD6-29,AD6-30,AD6-31,AD6-32,AD6-33,AD6-34,AD6-35,AD6-36,AD6-37,AD6-38,AD6-39,AD6-40,AD6-41
D1-5,99.48037009,99.32261233,99.62997262,99.37490656,99.5422132,99.36822495,99.51020884,99.36129896,99.379789,99.07941839,99.32053021,99.59441609,99.769481,99.67824528,99.71415405,99.45323923,99.51810359,99.17434969,99.32946685,99.29109228,99.41691121,99.81352559,99.32735929,99.03879212,99.78524133,99.84382428,99.78846049,99.75002179,88.97615164,88.61658325,85.39080685,85.98839256,87.82636804,89.16055641,87.69873607,87.98925422,89.00873723,87.6295017,85.37310578,87.98270447,84.55703533,85.21247988,85.59669123,75.6472639,76.08768439,74.80764109,75.22458461,73.33137731,76.2270881,77.47624374,77.55149089,78.73335245,77.51635963,75.68124289,76.95106713,74.51014186,75.33779085,77.90331146,75.5399033,75.92481568,75.78908258,75.83595769,75.94878771,74.99790797,74.05691862,73.73422015,74.71122639,74.06561055,74.50116923,74.56072536,74.08891109,73.10450505,77.65252737,99.91333723,99.81721736,99.94379605,99.89865279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1-6,99.34538927,99.15623863,99.53881437,99.20986693,99.42246545,99.2165584,99.39816052,99.22482408,99.22564692,99.02483034,99.37914607,99.51429444,99.71095036,99.62049974,99.60529417,99.32936452,99.35598093,98.98183483,99.15152339,99.12471482,99.28661276,99.70544542,99.16419793,98.99168318,99.76101867,99.89945768,99.90013945,99.87432431,88.94826584,88.56948024,85.33900876,85.84739279,87.69656556,89.29797337,87.83325531,87.96652905,89.07229281,87.67137572,85.36704388,87.87502612,84.41702604,85.12338127,85.45176897,76.31805965,76.74914442,75.48468031,75.9031977,74.05846836,76.86490882,78.08615737,78.15021326,79.29453408,78.10788499,76.32642174,77.57478557,75.19480331,75.99878175,78.49736161,76.20118387,76.57258739,76.44589871,76.48427819,76.59948221,75.67820172,74.75233397,74.4244751,75.39576979,74.76326401,75.18292954,75.25514241,74.78789664,73.81576978,78.25106259,99.86871817,99.87208817,99.93235807,99.9168738,99.945832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1-7,99.81868398,99.71623488,99.86189029,99.75526729,99.85200798,99.75270502,99.83188954,99.73549548,99.75124094,99.35017584,99.40827289,99.85424486,99.92991398,99.88849217,99.83354041,99.80227807,99.82427252,99.61066554,99.70676471,99.68669108,99.75640383,99.89035079,99.72003315,99.33685468,99.89381419,99.78751767,99.63864057,99.54526215,88.27324161,87.96878005,84.65123487,85.56955788,87.3617992,88.36600574,86.91709034,87.36285565,88.22238104,86.90706312,84.7262675,87.46497388,84.11187012,84.66885659,85.16866858,74.06572929,74.4884649,73.26039463,73.61388995,71.83294926,74.65293277,75.85532774,75.9567751,77.17036261,75.92897287,74.11889397,75.3290692,72.91586697,73.76363376,76.32406616,73.99933277,74.3768144,74.22185389,74.29287756,74.40014641,73.44900569,72.525964,72.21380709,73.16274046,72.53373035,72.96306705,73.00846462,72.54156925,71.57443331,75.88101857,99.63562726,99.43855614,99.69155837,99.61624296,99.87012574,99.78868156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1-8,99.52550144,99.39115547,99.6354552,99.44909182,99.57425891,99.43279166,99.54502182,99.416462,99.43192393,99.00495697,99.2487195,99.58942827,99.75859691,99.66184279,99.75852136,99.48944022,99.60086822,99.27694643,99.41020175,99.36867032,99.46738501,99.84918408,99.40100504,98.99145712,99.75005319,99.75294683,99.66107366,99.60444566,89.01820653,88.66850642,85.47478246,86.17343839,87.95770919,89.04558133,87.60328376,88.0105336,88.98117019,87.60400236,85.40994228,88.10688855,84.74033432,85.34664838,85.75843565,75.39955785,75.85066799,74.54682927,74.97313434,73.05352225,76.01147393,77.26653917,77.36271844,78.57641257,77.34871305,75.44965714,76.73425573,74.24383643,75.10218021,77.71972096,75.30092352,75.68996981,75.54949324,75.60558766,75.71878681,74.74021871,73.79705669,73.4650958,74.45726312,73.79827673,74.26179992,74.3001623,73.81846106,72.82672119,77.42794393,99.87920706,99.7423212,99.89426166,99.84603955,99.96787067,99.87015903,99.86474388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1-9,98.90562579,98.68086944,99.18664603,98.7353824,99.00968302,98.74316903,98.97032323,98.75935541,98.7630669,98.69424277,99.19611578,99.14688301,99.40238101,99.27255792,99.32096034,98.88305458,98.92122998,98.47427429,98.67402263,98.64280839,98.83652384,99.4323399,98.67293188,98.62446259,99.50076239,99.77555756,99.84459339,99.86704723,89.19662073,88.78644139,85.61768096,85.879924,87.77286848,89.68514725,88.21716965,88.19340597,89.41906489,87.9697615,85.60541478,87.98612367,84.47357756,85.25671863,85.49820828,77.587897,78.01784069,76.7367027,77.18943012,75.30287277,78.11741231,79.35100695,79.40318829,80.49904293,79.33790692,77.58000673,78.84914062,76.48718725,77.26510049,79.72125122,77.44544067,77.81922877,77.70037541,77.72661442,77.84685571,76.93557676,76.01561944,75.6864565,76.64930151,76.02263617,76.42821681,76.50981904,76.04974736,75.08811653,79.62778732,99.88356521,99.96108454,99.93653533,99.94394877,99.84083084,99.91938236,99.51524018,99.72190267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1-10,97.68852246,97.33961865,98.12796704,97.42480946,97.82788423,97.42604858,97.78055479,97.50023837,97.48827997,97.57861647,98.48095533,98.06106882,98.45480897,98.24063133,98.34050885,97.68159888,97.69113299,97.06647962,97.37250042,97.30984551,97.61890692,98.5054969,97.3681022,97.55201927,98.67410659,99.23307617,99.44514611,99.57463128,89.27151234,88.79724574,85.72173688,85.59206831,87.52012196,90.11835054,88.63532934,88.2322424,89.70543811,88.15463473,85.66850159,87.79963776,84.20916525,85.14625669,85.20257436,79.34904764,79.76736265,78.45174193,78.95502578,77.04422997,79.82932695,81.06634658,81.09374014,82.11814971,80.99216462,79.28277728,80.57285793,78.25578989,79.00487124,81.38768454,79.15874397,79.53640394,79.41753192,79.44083386,79.55186056,78.68102838,77.77023537,77.42201119,78.38721742,77.76075559,78.1898925,78.25703563,77.79994568,76.84890393,81.44617238,99.43950491,99.70566301,99.48885739,99.54843255,99.19388278,99.41232093,98.58868761,98.99523748,99.71187094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1-11,98.68286712,98.41110015,98.99058578,98.48033951,98.80161673,98.49157312,98.75489554,98.5168914,98.52066259,98.51830976,99.05154527,98.96233504,99.23904752,99.10712391,99.09777753,98.66248192,98.68321328,98.17594694,98.41533045,98.37459211,98.59496403,99.24061397,98.42310903,98.44385651,99.37213434,99.70378485,99.83159571,99.87004462,89.01190697,88.5697109,85.38556605,85.56265437,87.4792875,89.61383389,88.11766111,87.9882671,89.29563543,87.81289458,85.39423095,87.71507262,84.14999645,84.97874318,85.17446016,78.04559154,78.46517623,77.19645897,77.65603831,75.79549322,78.56896612,79.77511611,79.83022062,80.89576318,79.75332566,78.02927408,79.29658234,76.9517634,77.72915909,80.13583116,77.90781536,78.27391078,78.16275658,78.18215276,78.3125626,77.39991887,76.50479217,76.16849783,77.12108482,76.50881675,76.92029193,76.9793512,76.52454269,75.57980515,80.06964995,99.77539185,99.92550325,99.87160677,99.8798577,99.72254498,99.84595239,99.35316026,99.5799905,99.96893899,99.80232008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1-12,98.60663822,98.34202483,98.93315669,98.40370025,98.72709136,98.41436174,98.68121651,98.4508379,98.44780122,98.44738095,99.05835842,98.8948115,99.17728138,99.0334071,99.07814246,98.58978973,98.61100177,98.11479834,98.35008938,98.30603672,98.53896542,99.19539876,98.34145384,98.40254375,99.3188455,99.67723967,99.79767048,99.85214799,89.12483987,88.68621574,85.53614127,85.70194785,87.59638933,89.75454465,88.28954424,88.11916858,89.42873938,87.93666958,85.52999182,87.82828641,84.29073535,85.12280501,85.30184378,78.18748177,78.61210199,77.32740838,77.79675026,75.93395977,78.70208528,79.92289864,79.9721522,81.04929511,79.89024467,78.16143332,79.43039202,77.09344068,77.86043903,80.28587706,78.03654851,78.4083936,78.28965381,78.31625271,78.4341099,77.5406905,76.63367084,76.29820877,77.25750635,76.63646275,77.05523173,77.12524735,76.66318586,75.70973425,80.20987689,99.76402515,99.92287222,99.83584518,99.86418806,99.67495315,99.82510233,99.28108999,99.53001334,99.95606252,99.85333628,99.97283338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1-13,99.40332602,99.24208196,99.56394396,99.2895674,99.46672386,99.2848916,99.42136509,99.29089988,99.30450838,99.04006825,99.29585501,99.5301031,99.69140264,99.58109608,99.70337548,99.37162752,99.43198613,99.10568431,99.25986615,99.22821452,99.34277653,99.7640363,99.24057333,99.00856066,99.73814983,99.81577801,99.75399779,99.73460633,89.05390559,88.70229107,85.49656325,86.08609284,87.90964088,89.26311398,87.83544246,88.09524979,89.11018466,87.715952,85.46508154,88.06087262,84.65849137,85.30294637,85.68691753,75.9474273,76.39311967,75.08844348,75.53521199,73.6372609,76.52435924,77.77414404,77.86075879,79.03765913,77.81586594,75.96302683,77.25237713,74.81592413,75.64351039,78.19472545,75.82278915,76.21097384,76.06933187,76.119431,76.24192298,75.29534776,74.36770304,74.03197588,75.00000753,74.36161011,74.79907715,74.85810184,74.38927524,73.41800936,77.98795032,99.95862971,99.86302917,99.95838316,99.94406964,99.96544742,99.91730028,99.79799454,99.92918429,99.86707533,99.27992616,99.7539956,99.71749202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1-14,98.28134915,97.9727855,98.66346139,98.04360588,98.40654441,98.05079099,98.37590092,98.11750827,98.11043946,98.20930133,98.83769678,98.61855165,98.94366945,98.77033491,98.78217606,98.27710603,98.26097343,97.71150374,97.99572342,97.93492897,98.22379014,98.92613369,97.99623436,98.19993237,99.12540111,99.5617146,99.71859637,99.8194033,89.17395476,88.72280039,85.570522,85.64774384,87.57018357,89.98227576,88.49816402,88.19806022,89.55105634,88.06014221,85.60813327,87.8010948,84.25186283,85.11320757,85.25995286,78.41767313,78.82065113,77.55785211,78.01493123,76.18626098,78.89591203,80.09562444,80.13174601,81.17911203,80.03093137,78.35990943,79.6171289,77.33070014,78.07755175,80.44079639,78.25238987,78.61477891,78.49191562,78.52732937,78.64479623,77.77257154,76.88337792,76.54357229,77.48248081,76.88027489,77.29282068,77.36176301,76.90437146,75.97236356,80.3820343,99.58951694,99.79233523,99.68140541,99.69480117,99.46759571,99.66293739,99.01740671,99.28097035,99.84745777,99.93223976,99.91453675,99.94442716,99.51459074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1-15,99.78694954,99.73123009,99.81091721,99.7555807,99.8068778,99.74868438,99.81109501,99.71352184,99.73028688,99.22322971,99.25167415,99.77733935,99.88308624,99.81163228,99.84974043,99.75999953,99.84653698,99.6593508,99.71092955,99.68165115,99.74729024,99.90246068,99.72344678,99.25348481,99.79481538,99.65085538,99.46284373,99.36669268,88.63018249,88.34717724,85.11871854,86.12866443,87.84215644,88.56118597,87.14650136,87.71969093,88.51152609,87.22634206,85.1364135,87.92738491,84.67501175,85.17947435,85.70922734,73.89348886,74.32726554,73.07289008,73.42465732,71.59950858,74.50708249,75.73534996,75.84253221,77.1025956,75.83318425,73.96644538,75.18629189,72.72493739,73.59503362,76.22836911,73.83090546,74.222227,74.04546529,74.14196095,74.24253604,73.26637818,72.32834696,72.00180475,72.96841292,72.32699363,72.79903999,72.81507585,72.33482346,71.34347602,75.73805818,99.58354893,99.33134341,99.60302862,99.5170811,99.81690695,99.68978991,99.94961898,99.85724024,99.38301257,98.39755962,99.18558115,99.11759444,99.73952705,98.83191501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1-16,99.51910463,99.3761352,99.62062963,99.43623718,99.55345934,99.41916285,99.51881217,99.43418449,99.43543652,98.97688354,99.26427696,99.57306044,99.72383148,99.61265362,99.78151342,99.49335663,99.58319017,99.28385416,99.42605531,99.38708679,99.48256078,99.84891464,99.40783792,99.01529197,99.74609011,99.74228479,99.61602983,99.5757203,89.09082973,88.76225549,85.5663752,86.31711091,88.07415631,89.12492551,87.72004706,88.12233798,89.06044192,87.67842483,85.49840734,88.20842879,84.87980894,85.46195712,85.89155449,75.30361395,75.76093306,74.4324482,74.87517391,72.95832617,75.9008151,77.16344484,77.26377394,78.48504638,77.24729633,75.32270474,76.62436557,74.13952255,74.99975125,77.61877784,75.1821695,75.57547716,75.42410172,75.48800283,75.60212997,74.6429724,73.69453505,73.35185889,74.34464583,73.68436856,74.14095704,74.19989318,73.71650383,72.72645815,77.32490623,99.90548226,99.74170151,99.87713878,99.85146994,99.93259256,99.83751932,99.82367587,99.96726182,99.69612905,99.01261296,99.54165044,99.51608464,99.93666656,99.27843603,99.82749701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1-17,99.54458048,99.42237988,99.66177417,99.47652959,99.58833391,99.45488474,99.57387191,99.43623116,99.45412673,99.02552161,99.23093411,99.6002388,99.78232942,99.67268642,99.75406271,99.51395641,99.60805027,99.30159048,99.42534359,99.38569468,99.49128073,99.83483942,99.42848397,99.01961866,99.74894772,99.75616471,99.6461822,99.58893399,89.0340518,88.70714882,85.50096222,86.21659237,87.99773632,89.08515854,87.64317368,88.05413807,88.9942428,87.64522388,85.45402827,88.13685682,84.77446566,85.39736535,85.80663993,75.02964392,75.46935902,74.18734086,74.58754983,72.68027917,75.63096143,76.88719615,76.97767926,78.1899633,76.96082581,75.07566344,76.34721998,73.86963369,74.72506411,77.33770409,74.93464336,75.32538945,75.17968615,75.23892913,75.34576708,74.37220546,73.43168981,73.09245694,74.08750958,73.42176842,73.89077325,73.92093865,73.449227,72.44883708,77.03573798,99.85881179,99.68280654,99.85459635,99.79102123,99.95976687,99.85734743,99.89296982,99.97042314,99.69203131,98.95318095,99.53792828,99.48362164,99.91344572,99.25317553,99.90103634,99.94887491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1-18,99.48513567,99.32692531,99.60400259,99.38598549,99.53423872,99.37558587,99.50351946,99.37399224,99.38340207,98.98615613,99.27942014,99.56359316,99.74601087,99.64387837,99.72650016,99.45788448,99.55003697,99.20484793,99.35294904,99.30958953,99.42523816,99.8356934,99.35194486,98.99002168,99.75787907,99.79017166,99.71651766,99.67364832,89.03321518,88.67950564,85.48044226,86.15149206,87.93884546,89.12091929,87.67395668,88.03006176,89.03398495,87.64266247,85.42742115,88.09553498,84.71084191,85.33715771,85.73445058,75.73662052,76.18361732,74.8823849,75.30891457,73.40524991,76.33283658,77.58253969,77.67314536,78.87419184,77.65746253,75.77326001,77.0546245,74.58141958,75.43383905,78.02855763,75.63223762,76.02253663,75.87762525,75.93584794,76.04912235,75.08467934,74.14236466,73.80838734,74.79373104,74.14347757,74.60055502,74.64124096,74.16127746,73.17507692,77.74211703,99.90044213,99.79391213,99.92229482,99.88374241,99.97505795,99.90905977,99.8551115,99.98644147,99.77888421,99.12109847,99.65707622,99.61220578,99.946955,99.39130981,99.84244902,99.97021018,99.96758284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1-19,99.6311372,99.50001425,99.75020513,99.5529892,99.67395848,99.53660129,99.66832108,99.51568228,99.53878407,99.18093286,99.27016657,99.70561858,99.86421256,99.78063674,99.76096589,99.60623716,99.65185307,99.35639232,99.49063935,99.45758252,99.5710194,99.84051304,99.50347387,99.15372003,99.83295101,99.8259223,99.72722505,99.66299369,88.75503385,88.42965027,85.15632722,85.87925881,87.70897824,88.89172239,87.42409085,87.79513028,88.7324113,87.39943107,85.17548642,87.83309619,84.43654885,85.06609785,85.48807427,74.65464692,75.08247226,73.82827654,74.20882115,72.34109884,75.23664438,76.47843654,76.55706855,77.75642943,76.52632366,74.69912441,75.94082377,73.503073,74.33924074,76.92264052,74.5630573,74.9484548,74.80606252,74.86215357,74.96579603,74.00803391,73.06837818,72.74361401,73.72386053,73.07296507,73.51624913,73.56182527,73.09527439,72.10436474,76.59566105,99.80241085,99.63952045,99.82809204,99.759776,99.95475942,99.88020293,99.93881186,99.9393756,99.68613977,98.91986891,99.54153069,99.48006599,99.88926673,99.2609393,99.91184251,99.90080802,99.97588957,99.93809022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1-20,99.20071347,99.00119537,99.39823477,99.05867257,99.2749161,99.06278235,99.23923557,99.08034649,99.08039652,98.84373769,99.29153983,99.36984262,99.5837816,99.46743696,99.5575442,99.17978249,99.24682563,98.84594168,99.02261553,98.98698163,99.14922225,99.67722812,99.01751317,98.81898545,99.65476486,99.81486424,99.81841024,99.81085529,89.24255921,88.85865982,85.68840662,86.1550191,87.98202496,89.52512385,88.08352056,88.24405315,89.366012,87.93595276,85.6498017,88.17589984,84.73282726,85.42502608,85.75459613,76.80468214,77.25517743,75.93874386,76.39602673,74.48531732,77.37304288,78.6248309,78.69558306,79.85986382,78.65967685,76.8128465,78.10398768,75.67013679,76.49260633,79.04025189,76.67336334,77.05462977,76.92550438,76.96580326,77.08908985,76.15266437,75.20852721,74.87118801,75.85762898,75.21560636,75.65504394,75.72638828,75.24578705,74.25716558,78.83099354,99.93785105,99.94672949,99.9691195,99.97025684,99.93166904,99.95709635,99.6798387,99.87929451,99.93987855,99.4916204,99.86180216,99.85290984,99.94293828,99.6800143,99.60815751,99.87054704,99.83347931,99.91478119,99.81057203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1-21,99.59109492,99.44516792,99.69437545,99.50207904,99.63805246,99.49432443,99.60524021,99.49738771,99.50563379,99.12425851,99.34944647,99.66570987,99.80676018,99.72225037,99.78615562,99.56630234,99.64587374,99.33286354,99.47622626,99.43892499,99.53937894,99.88150119,99.47111088,99.12328929,99.81920125,99.81367763,99.72173082,99.66626909,88.8586027,88.51092938,85.27974948,86.01195508,87.80050027,88.95643562,87.52116758,87.88913147,88.86054254,87.47863289,85.26753414,87.94620909,84.57020107,85.16875657,85.59603254,75.38642067,75.83145259,74.54240809,74.96473467,73.0924498,75.98688156,77.21593136,77.31693347,78.52304472,77.29480987,75.42055681,76.70061395,74.23712384,75.09321493,77.67078608,75.29228942,75.66873331,75.53041534,75.58469478,75.71163091,74.74311,73.81859569,73.47793917,74.45805291,73.81338297,74.26033236,74.30958737,73.83298281,72.85170274,77.35250011,99.87691836,99.74272331,99.91080494,99.85186622,99.97245098,99.89254846,99.89662945,99.97998715,99.74780566,99.02539075,99.61803987,99.56486584,99.9475759,99.33290525,99.86557316,99.96373306,99.96183052,99.98061439,99.94176676,99.8921695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1-22,99.86903036,99.824783,99.85972551,99.85057063,99.89576196,99.8484588,99.88384005,99.7970812,99.82128825,99.33269838,99.27364227,99.85051213,99.8978617,99.86716208,99.82724934,99.83327767,99.90344421,99.74976012,99.79700169,99.77475391,99.80766243,99.85948948,99.81130814,99.32915944,99.80722591,99.60423247,99.41410424,99.28219452,88.06871909,87.77889269,84.48169045,85.54522529,87.2898663,88.00468166,86.57727124,87.16198469,87.94357576,86.64592177,84.54661797,87.36698809,84.08968218,84.57858291,85.12797722,73.27429517,73.70712699,72.47329569,72.82309586,71.03767199,73.90422453,75.09848826,75.22552682,76.47342879,75.2136773,73.36307194,74.57097306,72.11628379,72.99471456,75.59626793,73.23518969,73.61393033,73.45070084,73.53514627,73.64891128,72.6584859,71.74799087,71.42664448,72.37683632,71.74840746,72.20150837,72.21248694,71.74071903,70.77208931,75.09650249,99.44184796,99.18175719,99.50698445,99.40760514,99.73651797,99.59826155,99.94947436,99.7840585,99.2552099,98.15401326,99.06712023,98.96614371,99.64928609,98.64390896,99.94998867,99.72368069,99.80209748,99.74991362,99.83996236,99.48764529,99.80688746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1-23,99.76496366,99.66307561,99.81947413,99.6973454,99.79804482,99.69741656,99.77749338,99.67970415,99.69472719,99.2575075,99.38299731,99.80120468,99.90180869,99.84379222,99.85114793,99.7436861,99.79993107,99.56438607,99.66029967,99.63695894,99.71068994,99.92170932,99.66596463,99.2521471,99.8673861,99.77931221,99.63736101,99.55499493,88.55416293,88.23862068,84.96928786,85.84121134,87.6244533,88.60396701,87.15909092,87.61665774,88.49738772,87.16958521,84.99483427,87.73731219,84.39432124,84.94663857,85.44241684,74.38924133,74.83153986,73.56239424,73.94322573,72.10315525,74.98930329,76.22461339,76.3207829,77.55175497,76.29969876,74.44915608,75.68668689,73.23516994,74.0889904,76.69514353,74.31275046,74.70250822,74.53856941,74.61826847,74.71913348,73.76169494,72.81438587,72.50026008,73.46597125,72.82710046,73.27291093,73.31840747,72.83986963,71.85669302,76.27456214,99.72326272,99.53153363,99.75460674,99.69167913,99.91850629,99.82564239,99.981897,99.92437193,99.58128637,98.68911569,99.4101857,99.34935015,99.85616956,99.07784713,99.96077362,99.88991663,99.93867074,99.91283128,99.9582793,99.75575709,99.93888182,99.92730953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1-24,99.22499035,99.05190352,99.3875341,99.11083187,99.29098819,99.09790702,99.23745949,99.08972111,99.11215275,98.73028622,99.18149093,99.33965886,99.5462388,99.42032023,99.57679852,99.18773836,99.30718755,98.9217138,99.08293997,99.03618694,99.15522092,99.69831161,99.06070844,98.68951654,99.58333792,99.68720084,99.64939254,99.62376808,89.26174402,88.89497075,85.74638906,86.25497006,88.07441652,89.36167018,87.91457679,88.22692399,89.29220683,87.86193657,85.62261998,88.26298913,84.83807267,85.49721099,85.86162032,76.10880782,76.58089871,75.21206187,75.68941372,73.6762025,76.73060392,78.03801601,78.12237356,79.33487886,78.10017152,76.15849892,77.48578713,74.94119822,75.80557242,78.47464084,75.98703158,76.39841022,76.25250203,76.30461638,76.41485708,75.434841,74.45208854,74.11920504,75.13225155,74.45973041,74.93628306,74.97948021,74.48812708,73.47250835,78.27062742,99.95125828,99.87086121,99.9345655,99.92485253,99.93297514,99.85271043,99.69070452,99.93312244,99.82526109,99.26342951,99.70074062,99.66877545,99.94219125,99.43921799,99.66289581,99.91492182,99.88618509,99.93288223,99.82814248,99.92767038,99.90771086,99.55179088,99.78771328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1-25,97.79075883,97.47219246,98.18070032,97.56535143,97.9199911,97.55601176,97.85198606,97.5945933,97.59165008,97.488328,98.51292871,98.10350959,98.48988952,98.28040895,98.48612368,97.76582141,97.86308093,97.2400287,97.51306335,97.45598855,97.70803284,98.66926048,97.49250871,97.41210081,98.67385877,99.17975576,99.36142529,99.44090599,89.58659221,89.12213138,86.10889624,85.98043382,87.88424985,90.13478111,88.6661879,88.46117887,89.90492168,88.33961111,85.92521129,88.19073518,84.61625996,85.52243312,85.59996517,79.06596987,79.53222265,78.12436122,78.67643607,76.60704792,79.61499779,80.93040424,80.97268936,82.05190636,80.90615042,79.04254807,80.39683842,77.92909704,78.73372523,81.2730951,78.87571244,79.2778672,79.16808196,79.17415506,79.28567102,78.35721065,77.38344337,77.03710796,78.06393702,77.38393942,77.843102,77.90906695,77.43478319,76.42829624,81.37154831,99.60457477,99.81213117,99.59828626,99.67286993,99.33202244,99.44399114,98.69380324,99.2113285,99.73799184,99.86321954,99.76527617,99.79298699,99.41455631,99.75057493,98.54965269,99.2096258,99.1235288,99.28763176,99.03605067,99.5979421,99.18595838,98.3254496,98.84125887,99.52200253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
